Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
13.03.2024,수,16:09,16:42,00:33,책 언어이해의 맛 (김동규),,,,,,
13.03.2024,수,16:42,16:54,00:12,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
13.03.2024,수,16:54,16:56,00:02,화장실,생활,화장실,,,,
13.03.2024,수,16:56,17:18,00:22,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
13.03.2024,수,17:18,18:00,00:42,책 언어이해의 맛 (김동규),,,,,,
13.03.2024,수,18:00,18:02,00:02,화장실,생활,화장실,,,,
13.03.2024,수,18:02,18:04,00:02,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,18:04,18:18,00:14,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
13.03.2024,수,18:18,18:20,00:02,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,18:20,18:21,00:01,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,18:21,18:22,00:01,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
13.03.2024,수,18:22,18:24,00:02,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,18:24,18:25,00:01,"사물함 관련 행정, 정리 등",,,,,,
13.03.2024,수,18:25,18:27,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
13.03.2024,수,18:27,18:33,00:06,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,18:33,18:43,00:10,책 박시백 조선왕조실록,,,,,,
13.03.2024,수,18:43,18:47,00:04,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,18:47,18:59,00:12,책 박시백 조선왕조실록,,,,,,
13.03.2024,수,18:59,19:02,00:03,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,19:02,19:21,00:19,책 박시백 조선왕조실록,,,,,,
13.03.2024,수,19:21,19:23,00:02,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,19:23,19:45,00:22,책 박시백 조선왕조실록,,,,,,
13.03.2024,수,19:45,19:47,00:02,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,19:47,20:02,00:15,수능 어휘 공부,,,,,,
13.03.2024,수,20:02,20:06,00:04,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,20:06,20:08,00:02,"물품 배송 확인, 교환 반품 처리",,,,,,
13.03.2024,수,20:08,20:11,00:03,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,20:11,20:16,00:05,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,20:16,20:31,00:15,일립티컬 인터벌 트레이닝,,,,,,
13.03.2024,수,20:31,20:36,00:05,"이동 준비, 이동 등",생활,이동,,,,
13.03.2024,수,20:36,20:40,00:04,물건 씻기 닦기,생활,"물품 씻기, 닦기",,,,
13.03.2024,수,20:40,20:41,00:01,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
13.03.2024,수,20:41,20:52,00:11,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
13.03.2024,수,20:52,20:54,00:02,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
13.03.2024,수,20:54,21:05,00:11,화장실,생활,화장실,,,,
13.03.2024,수,21:05,21:10,00:05,화장실,생활,화장실,,,,
13.03.2024,수,21:10,21:35,00:25,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
13.03.2024,수,21:35,21:38,00:03,"로션, 바셀린, 연고 등 바르기",,,,,문기옥,
13.03.2024,수,21:38,21:46,00:08,머리 말리기,,,,,문기옥,
13.03.2024,수,21:46,21:50,00:04,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
13.03.2024,수,21:50,21:54,00:04,Duolingo 히브리어 (<-영어),공부,히브리어,,,,
13.03.2024,수,21:54,21:55,00:01,"이불 깔기, 이불 커버 베갯닛 씌우기, 잘 준비, 알람 설정",수면,수면 준비,,,,
13.03.2024,수,21:55,21:58,00:03,인터넷 커뮤니티 리그 오브 레전드 갤러리 서핑,,,,,,
13.03.2024,수,21:58,22:06,00:08,게임 리그 오브 레전드 LCK 시청,,,,,,
13.03.2024,수,22:06,22:10,00:04,바람의나라 클래식 갤러리 서핑,,,,,,
13.03.2024,수,22:10,22:49,00:39,유튜브 랄로 시청 등,,,,,,
13.03.2024,수,22:49,00:00,01:11,잠,잠,잠,,,,
14.03.2024,목,00:00,04:50,04:50,잠,잠,잠,,,,
14.03.2024,목,04:50,04:54,00:04,화장실,생활,화장실,,,,
14.03.2024,목,04:54,04:55,00:01,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.03.2024,목,04:55,04:58,00:03,"요구르트 준비, 먹기, 처리 등",,,,,,
14.03.2024,목,04:58,05:11,00:13,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.03.2024,목,05:11,05:16,00:05,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
14.03.2024,목,05:16,05:36,00:20,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
14.03.2024,목,05:36,05:41,00:05,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,05:41,05:55,00:14,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,05:55,06:07,00:12,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
14.03.2024,목,06:07,06:08,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,06:08,06:26,00:18,"BrainHQ 뇌 기능 향상 프로그램 사용, 학습",,,,,,
14.03.2024,목,06:26,06:27,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,06:27,06:37,00:10,책 박시백 조선왕조실록,,,,,,
14.03.2024,목,06:37,06:41,00:04,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,06:41,06:49,00:08,책 박시백 조선왕조실록,,,,,,
14.03.2024,목,06:49,06:51,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,06:51,07:01,00:10,책 박시백 조선왕조실록,,,,,,
14.03.2024,목,07:01,07:02,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,07:02,07:04,00:02,Duolingo 힌디어 (<-영어),,,,,,
14.03.2024,목,07:04,07:08,00:04,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,07:08,07:09,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
14.03.2024,목,07:09,07:10,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,07:10,07:11,00:01,"차 마시기, 준비",,,,,,
14.03.2024,목,07:11,07:14,00:03,"사물함 관련 행정, 정리 등",,,,,,
14.03.2024,목,07:14,07:19,00:05,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,07:19,07:29,00:10,화장실,생활,화장실,,,,
14.03.2024,목,07:29,07:37,00:08,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
14.03.2024,목,07:37,08:08,00:31,책 2024학년도 수능연계교재의 국어 어휘,,,,,,
14.03.2024,목,08:08,08:23,00:15,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
14.03.2024,목,08:23,08:25,00:02,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
14.03.2024,목,08:25,08:39,00:14,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,08:39,08:43,00:04,"국내 언론 기사, 지면 인터뷰, 연재물 등 확인",정보,언론,,,,
14.03.2024,목,08:43,08:55,00:12,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,08:55,08:57,00:02,"국내 언론 기사, 지면 인터뷰, 연재물 등 확인",정보,언론,,,,
14.03.2024,목,08:57,09:23,00:26,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,09:23,09:25,00:02,화장실,생활,화장실,,,,
14.03.2024,목,09:25,10:01,00:36,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,10:01,10:02,00:01,학습 목표/계획 수립/수정,행정,학습 계획,,,,
14.03.2024,목,10:02,11:00,00:58,"반도체공학I (김규태 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,11:00,11:02,00:02,화장실,생활,화장실,,,,
14.03.2024,목,11:02,11:03,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,11:03,11:19,00:16,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.03.2024,목,11:19,11:21,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,11:21,11:26,00:05,양치질,생활,양치질,,,,
14.03.2024,목,11:26,11:27,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,11:27,11:28,00:01,가글 등,,,,,,
14.03.2024,목,11:28,11:30,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,11:30,11:32,00:02,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
14.03.2024,목,11:32,11:33,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,11:33,11:38,00:05,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,11:38,11:46,00:08,책 박준범의 합격하는 Quiz 특강,,,,,,
14.03.2024,목,11:46,11:50,00:04,"전력전자공학 (영강) (이기복 교수님) 수강, 수험, 대기 등",,,,,,
14.03.2024,목,11:50,12:00,00:10,책 박준범의 합격하는 Quiz 특강,,,,,,
14.03.2024,목,12:00,13:17,01:17,"전력전자공학 (영강) (이기복 교수님) 수강, 수험, 대기 등",,,,,,
14.03.2024,목,13:17,13:24,00:07,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,13:24,13:25,00:01,화장실,생활,화장실,,,,
14.03.2024,목,13:25,13:35,00:10,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
14.03.2024,목,13:35,14:15,00:40,"전력전자공학 (영강) (이기복 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,14:15,14:17,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,14:17,14:19,00:02,"비일상품 구매, 탐색, 행정 처리",,,,,,
14.03.2024,목,14:19,14:28,00:09,간식,식사,간식,,,,
14.03.2024,목,14:28,14:29,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,14:29,14:30,00:01,화장실,생활,화장실,,,,
14.03.2024,목,14:30,14:31,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,14:31,15:33,01:02,"전력전자공학 (영강) (이기복 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,15:33,15:56,00:23,잠,잠,잠,,,,
14.03.2024,목,15:56,16:14,00:18,"전력전자공학 (영강) (이기복 교수님) 예습, 복습, 과제, 시험 공부 등",,,,,,
14.03.2024,목,16:14,16:15,00:01,화장실,생활,화장실,,,,
14.03.2024,목,16:15,16:21,00:06,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
14.03.2024,목,16:21,16:22,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,16:22,16:35,00:13,"학습 자료, 교재 획득, 수집, 정리, 확인",행정,학습 자료 정리,,,,
14.03.2024,목,16:35,16:37,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,16:37,16:39,00:02,"학습 자료, 교재 획득, 수집, 정리, 확인",행정,학습 자료 정리,,,,
14.03.2024,목,16:39,16:47,00:08,책 언어이해의 맛 (김동규),,,,,,
14.03.2024,목,16:47,16:52,00:05,"학습 자료, 교재 획득, 수집, 정리, 확인",행정,학습 자료 정리,,,,
14.03.2024,목,16:52,17:19,00:27,책 언어이해의 맛 (김동규),,,,,,
14.03.2024,목,17:19,17:21,00:02,"학습 자료, 교재 획득, 수집, 정리, 확인",행정,학습 자료 정리,,,,
14.03.2024,목,17:21,17:23,00:02,책 언어이해의 맛 (김동규),,,,,,
14.03.2024,목,17:23,17:26,00:03,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
14.03.2024,목,17:26,17:28,00:02,책 언어이해의 맛 (김동규),,,,,,
14.03.2024,목,17:28,17:30,00:02,학습 목표/계획 수립/수정,행정,학습 계획,,,,
14.03.2024,목,17:30,18:00,00:30,책 언어이해의 맛 (김동규),,,,,,
14.03.2024,목,18:00,18:01,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:01,18:03,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:03,18:04,00:01,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.03.2024,목,18:04,18:05,00:01,수능 어휘 공부,,,,,,
14.03.2024,목,18:05,18:19,00:14,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
14.03.2024,목,18:19,18:21,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:21,18:23,00:02,화장실,생활,화장실,,,,
14.03.2024,목,18:23,18:25,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
14.03.2024,목,18:25,18:26,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:26,18:28,00:02,"공부 자리 준비, 정리, 사용 앱 등 환경 설정, 다음 공부 강의 재생 등 준비",행정,자리 정리,,,,
14.03.2024,목,18:28,18:29,00:01,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:29,18:31,00:02,"사물함 관련 행정, 정리 등",,,,,,
14.03.2024,목,18:31,18:33,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
14.03.2024,목,18:33,18:40,00:07,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:40,18:49,00:09,"책 첫 눈에 반한 커뮤니케이션 이론 <A First Look At Communication Theory> (Em Griffin; 김동윤, 오소현)",,,,,,
14.03.2024,목,18:49,18:52,00:03,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,18:52,19:07,00:15,"책 첫 눈에 반한 커뮤니케이션 이론 <A First Look At Communication Theory> (Em Griffin; 김동윤, 오소현)",,,,,,
14.03.2024,목,19:07,19:09,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,19:09,19:32,00:23,"책 첫 눈에 반한 커뮤니케이션 이론 <A First Look At Communication Theory> (Em Griffin; 김동윤, 오소현)",,,,,,
14.03.2024,목,19:32,19:34,00:02,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,19:34,19:35,00:01,"책 첫 눈에 반한 커뮤니케이션 이론 <A First Look At Communication Theory> (Em Griffin; 김동윤, 오소현)",,,,,,
14.03.2024,목,19:35,19:36,00:01,학습 목표/계획 수립/수정,행정,학습 계획,,,,
14.03.2024,목,19:36,19:48,00:12,"책 첫 눈에 반한 커뮤니케이션 이론 <A First Look At Communication Theory> (Em Griffin; 김동윤, 오소현)",,,,,,
14.03.2024,목,19:48,20:02,00:14,책 박시백 조선왕조실록,,,,,,
14.03.2024,목,20:02,20:21,00:19,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,20:21,20:23,00:02,"물품 배송 확인, 교환 반품 처리",,,,,,
14.03.2024,목,20:23,20:28,00:05,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,20:28,20:44,00:16,일립티컬 인터벌 트레이닝,,,,,,
14.03.2024,목,20:44,20:48,00:04,"이동 준비, 이동 등",생활,이동,,,,
14.03.2024,목,20:48,20:53,00:05,물건 씻기 닦기,생활,"물품 씻기, 닦기",,,,
14.03.2024,목,20:53,20:54,00:01,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
14.03.2024,목,20:54,20:56,00:02,화장실,생활,화장실,,,,
Total,2,,,44:56,,,,,,,
